,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
2292,MASTER,rl9Vx6rmR8c_doawpkQH4L5FqhvGP8Z6fKmOz3XiskFmpRU,Mïnnie,301,188,165,False,False,False,False
2293,MASTER,cIuuTzoSUNJiDgBKLDHCkJrnY2HBTvF58lQ5lICu_w-8,takeshi,306,133,111,False,False,True,False
2294,MASTER,dMYbIBClNUkOOIs1tdoAgVBukOOduHQcsMVnUhc0-0mVkw,Penido,256,222,201,False,False,True,False
2295,MASTER,PH6R_KO2HAAE4OKxZtf5kKX7MnLkjb0SLHddopZO8adO5Q,Neguinho Do Açaí,424,255,230,False,False,False,False
2296,MASTER,91Eq_RXyPznq-pCsQiNSn1NCm_wRFO2lAe-uU7vPM1SL2A,Raiiser,262,150,124,False,False,False,False
2297,MASTER,Xwq_FYhGn4OB7Lg-oiW5LDAH7p27g0QV6KEMqXQaFjneaJw,it slezzy,257,217,209,False,False,True,False
2298,MASTER,vxNditOpna0-6MPfYI_NqxWwpl1pbiEMiQlz8dvY4P0ttg,Lengz,326,316,293,False,False,False,False
2299,MASTER,G1wjW0arYyUCW7tTsBQjkCh1_p1GHNrNIInfXITWIjHzTw,fukashigi,432,335,324,True,False,False,False
2300,MASTER,dzJFJ-7v2r260YoM9h3wBAB4yePgxZe0u49gq344m6AfOw,Drauzio Varellla,312,747,712,False,False,True,True
2301,MASTER,sP-a-E--0pczl5Wr7t_wHE5-VfbZs_TKDhfOSF2f79tNQw,Kimizuki,369,555,529,False,False,False,False
2302,MASTER,Soeet_qysoh-k5uEr6clKbTAyHj710Fm_zDp7rP0CHaizg,mendigorcabra,584,232,199,False,False,False,False
2303,MASTER,2Pgy-WCQ0a6F6Ib2b4VD0yPn7dvAmWK9V5T9q3VWhmXFmg,Daenerysz,550,449,418,False,False,False,True
2304,MASTER,qG-vYlQxoBHZ_mev5wrX3cOGkDMcWIj8xzsLOJUP_g_o22g,jawa apenas,605,178,94,True,False,False,False
2305,MASTER,lTQV3W2XsYLsIiif7NPcw2rrq25Bl6IhdVEOEciQl-UcHQ,GAZAO 51,335,330,259,False,False,True,False
