summonerName,accountId,summonerLevel,puuid
Nicolaci,PA91kFklL3Y4my3NpqFM1SCfdY8VPCx6TVMfRy4OsXVVRUg,513,9yeG5mjzNagk1wXiM2aa3d3xqY8av-ZQ9Rz3A27ojo_d5ux7clf-wsJonsvpe36TbNYWPidQtpz52g
huhi,QncNvwEifvptI6KWRHUMjqcrK6SBPWogj7QimT_6bDm8m0I,366,DZ7sPg3QhMTJWPD83ggTFEi6lD9uX2ZqC2fyBmVzcvPVeQePapzLZjbSCdw2xXnb3DIjiUxBNtMR3Q
Irmã do Kevao,jTier3wAmGTY-dyYFFAAZmi-Y8bRtec2rRjHomroVdi16J0,358,GqmnExcGhFhp0zeo9G5chdLrzxdAIjEMc2jtGdP5yFa0a-_enNKMnDOd1uHV3jhAZoLDviDXh_cNgw
gues ,5q8ImtaxE7OlNnZ0UZeCFzYWFbj3FJhsEbVEScatSN85Crg,158,ogWZqecNnwkxq-vm4J-nNevgSs-u6RLb1fL1lXErH1UHeoxy014IbjJZpuAGrBV4jnSc3aCGVCuMhA
sony apenas,K6Zi_atvfzJDJ97rtns13mlvg2RSRLGtsxOkaiipZMCITkA,259,dEvRNkR0urCUdDBUtvesYqGuKbeT2ta7YQTnyK14pPLWkKiMiU2zSFiOhFKifnGcjn0UlMSg-_3Plg
iEndlessly,xl9-xUsC68-kOdMRJk-IOA6DdQ-MFSLy_CX0jZ3FKcq14SI,122,MxbsfGqiJnXe9_V0R8njAssBxLVVvTI3jQ060EMubIU-e88_bjMTvtTbWFSJag5kC1l084qiKtLkhQ
Gants2,1ydAvNcybyZXvc_Z3NAENIxLmekk-0y-pCwG64dYFsGtVEs,192,C_1HZliqPgjE03aikBh_BI28j4uqopdQ-TLxBlqY1uK_mlqWzAyjUcyuvocDSerYekc8CWzkfO5wJw
rabeIo,Naew3AXPWwLDmTe2PiB67w_aB9q3evD2dCZ_58Z4CNGBDJM,82,KBv4jHz6ZUZGyIncHQTXS5enbpCYwF9PfR6rTckxWKpMNdcZpsPM5MK-CDM4TTnoqjsdz3JBk9danA
Kr0ft,kuampLhDsO8e0q1cVhyT3AtuH497xGyOcWNNmtMa5R1DkQs,440,45xVF_PcoN2s8CNBO4sCFFrhnVd2Q_281RkxVgEIfNVOJgwoF46YPdT-K4YzQVjoRAzlLUZh07wMAg
Renëkton,aI-AXCKu-z2OXbHPiEGvz4axYtgCQScZjVk5FCXcJPHW-YE,162,Wp-spuPuhpMqh-lsBYTsdp4_vj5u-XP4l_47zli9Rml0CsQTwpEXj_Z-V4Qo8IiSAmNKdbdgA6W9mg
só palhaços,HLCPpSyD3IQL4aHR9IEaZhqVU7OIl3G9D2cQMwIKOmsK96o,158,FoImH90MKxHB6G6fXqs7gW8ycomulFW8GN0Q6rRvPHaUzqFyT4FJAzf_0tgwEB7okBh9DNGulB2b3Q
Vini Master,kakFIiAN3eVbGRBX4BM-oFj3fiGBXvPAyjP64oXDeJDnHxc,287,xXbZYYC3rceMTrMnAi1ywv4PJoREzVz8u_BzPmMqUQDuQ3S2ZFtwJLGEuB_pgpOZIzpaWOK57lvr_g
